class_or_average,precision,recall,f1-score,support
airplane,0.9597644749754661,0.978,0.9687964338781575,1000.0
automobile,0.9685966633954858,0.987,0.9777117384843982,1000.0
bird,0.953953953953954,0.953,0.9534767383691846,1000.0
cat,0.9376299376299376,0.902,0.9194699286442406,1000.0
deer,0.9529872673849168,0.973,0.962889658584859,1000.0
dog,0.9381338742393509,0.925,0.9315206445115811,1000.0
frog,0.9743589743589743,0.988,0.9811320754716981,1000.0
horse,0.9798590130916415,0.973,0.9764174611138986,1000.0
ship,0.9771144278606965,0.982,0.9795511221945137,1000.0
truck,0.9837067209775967,0.966,0.9747729566094854,1000.0
accuracy,0.9627,0.9627,0.9627,0.9627
macro avg,0.962610530786802,0.9626999999999999,0.9625738757862015,10000.0
weighted avg,0.9626105307868019,0.9627,0.9625738757862018,10000.0
