epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,backbone_learning_rate,classifier_learning_rate,epoch_duration_seconds
1,1.2662944058407406,0.674568198005698,0.3120303192138672,0.9238,0.9240647042243696,3e-05,0.0003,135.49434869998368
2,0.664692618228771,0.9330484330484331,0.24688680419921874,0.9446,0.9445218396942912,2.9095389311788626e-05,0.0002909538931178862,117.76839899999322
3,0.6118638873779536,0.9535478988603988,0.22415155029296874,0.9558,0.955592238342432,2.649066664678467e-05,0.00026490666646784665,118.8555699000135
4,0.5862897512240287,0.9649661680911681,0.21790556640625,0.957,0.9568108620119118,2.25e-05,0.000225,116.32217360002687
5,0.5681966913391722,0.9725115740740741,0.20134269409179686,0.9616,0.9615648650227244,1.760472266500396e-05,0.00017604722665003956,115.05700789997354
6,0.5521838388212046,0.979255698005698,0.19421934204101562,0.9634,0.9632653622348268,1.2395277334996045e-05,0.00012395277334996044,116.89046789996792
7,0.5405855487894129,0.9837295227920227,0.18923236083984374,0.9682,0.9681674068850248,7.500000000000004e-06,7.500000000000002e-05,117.71125499997288
8,0.5325256108898043,0.9876914173789174,0.18517900390625,0.9682,0.968149172164608,3.5093333532153316e-06,3.509333353215331e-05,117.97640949999914
9,0.5276358153066064,0.9899394586894587,0.184861328125,0.9694,0.9693368956591941,9.046106882113753e-07,9.046106882113751e-06,118.08050609997008
10,0.5256592352845391,0.9905404202279202,0.1847627685546875,0.9698,0.9697510473975155,0.0,0.0,119.0401670000283
