class_or_average,precision,recall,f1-score,support
airplane,0.9665354330708661,0.982,0.9742063492063492,1000.0
automobile,0.9722222222222222,0.98,0.9760956175298805,1000.0
bird,0.9728643216080402,0.968,0.9704260651629073,1000.0
cat,0.9367219917012448,0.903,0.9195519348268839,1000.0
deer,0.964859437751004,0.961,0.9629258517034068,1000.0
dog,0.9274509803921569,0.946,0.9366336633663367,1000.0
frog,0.9733990147783251,0.988,0.9806451612903225,1000.0
horse,0.9757820383451059,0.967,0.9713711702661979,1000.0
ship,0.9781312127236581,0.984,0.9810568295114656,1000.0
truck,0.9767441860465116,0.966,0.971342383107089,1000.0
accuracy,0.9645,0.9645,0.9645,0.9645
macro avg,0.9644710838639134,0.9644999999999999,0.9644255025970839,10000.0
weighted avg,0.9644710838639133,0.9645,0.9644255025970838,10000.0
